state,district,pvi,result,unopposed,swing,adj_swing,swing_string,adj_swing_string
NY,1,5,-0.9816591557953416,FALSE,-5.981659155795342,2.272752217715734,D+6,R+2
NY,2,3,1.5595915710750106,FALSE,-1.4404084289249894,6.814002944586086,D+1,R+7
NY,3,-1,-19.179441478008847,FALSE,-18.179441478008847,-9.925030104497772,D+18,D+10
NY,4,-4,-25.52669807767692,FALSE,-21.52669807767692,-13.272286704165843,D+22,D+13
NY,5,-37,-99.39865362820568,TRUE,-62.39865362820568,-54.1442422546946,D+62,D+54
NY,6,-16,-84.5018270796704,TRUE,-68.5018270796704,-60.24741570615933,D+69,D+60
NY,7,-38,-85.26592160303112,TRUE,-47.26592160303112,-39.01151022952004,D+47,D+39
NY,8,-36,-89.18550689836977,TRUE,-53.185506898369766,-44.93109552485869,D+53,D+45
NY,9,-34,-73.03353111496733,FALSE,-39.03353111496733,-30.779119741456256,D+39,D+31
NY,10,-26,-60.883683007992104,FALSE,-34.883683007992104,-26.62927163448103,D+35,D+27
NY,11,3,-8.53918084226192,FALSE,-11.53918084226192,-3.284769468750845,D+12,D+3
NY,12,-31,-69.64192840156107,FALSE,-38.641928401561074,-30.38751702805,D+39,D+30
NY,13,-43,-84.8537925826481,FALSE,-41.8537925826481,-33.59938120913702,D+42,D+34
NY,14,-29,-64.52791705617405,FALSE,-35.52791705617405,-27.27350568266297,D+36,D+27
NY,15,-44,-90.51259720541653,FALSE,-46.512597205416526,-38.25818583190545,D+47,D+38
NY,16,-24,-94.25107441261808,TRUE,-70.25107441261808,-61.996663039107005,D+70,D+62
NY,17,-7,-82.50215382710572,TRUE,-75.50215382710572,-67.24774245359464,D+76,D+67
NY,18,1,-11.928562914696649,FALSE,-12.928562914696649,-4.674151541185573,D+13,D+5
NY,19,2,-8.083031814046514,FALSE,-10.083031814046514,-1.8286204405354383,D+10,D+2
NY,20,-7,-27.168494891246333,FALSE,-20.168494891246333,-11.914083517735257,D+20,D+12
NY,21,4,9.79270360909095,FALSE,5.79270360909095,14.047114982602025,R+6,R+14
NY,22,6,-2.3390602359759853,FALSE,-8.339060235975985,-0.08464886246490977,D+8,0
NY,23,6,5.7443816718946294,FALSE,-0.25561832810537055,7.998793045405705,0,R+8
NY,24,-3,-0.9075657351704791,FALSE,2.092434264829521,10.346845638340596,R+2,R+10
NY,25,-8,-20.96734784540204,FALSE,-12.967347845402038,-4.712936471890963,D+13,D+5
NY,26,-11,-41.39372157649905,FALSE,-30.393721576499047,-22.13931020298797,D+30,D+22
NY,27,11,-4.788293024886087,FALSE,-15.788293024886087,-7.533881651375012,D+16,D+8
NC,1,-17,-39.695241587971026,FALSE,-22.695241587971026,-14.44083021445995,D+23,D+14
NC,2,7,5.455164845766113,FALSE,-1.544835154233887,6.709576219277189,D+2,R+7
NC,3,12,100,TRUE,88,96.25441137351108,R+88,R+96
NC,4,-17,-48.334373160165555,FALSE,-31.334373160165555,-23.07996178665448,D+31,D+23
NC,5,10,14.069582894948013,FALSE,4.069582894948013,12.323994268459089,R+4,R+12
NC,6,9,13.032072021381353,FALSE,4.032072021381353,12.286483394892429,R+4,R+12
NC,7,9,12.74157669528747,FALSE,3.7415766952874705,11.995988068798546,R+4,R+12
NC,8,8,10.677400291952523,FALSE,2.677400291952523,10.931811665463599,R+3,R+11
NC,9,8,0.320108093959675,FALSE,-7.679891906040325,0.5745194674707506,D+8,R+1
NC,10,12,18.585476659430398,FALSE,6.585476659430398,14.839888032941474,R+7,R+15
NC,11,14,20.45592118829532,FALSE,6.455921188295321,14.710332561806396,R+6,R+15
NC,12,-18,-46.14563405913921,FALSE,-28.145634059139212,-19.891222685628136,D+28,D+20
NC,13,6,5.996172061638184,FALSE,-0.0038279383618160523,8.25058343514926,0,R+8
ND,0,16,60.20178395929487,TRUE,44.20178395929487,52.45619533280595,R+44,R+52
